Gene	s1_p16_neg_PBS	s2_p16_neg_PBS	s3_p16_neg_PBS	s4_p16_neg_PBS	s1_p16_pos_PBS	s2_p16_pos_PBS	s3_p16_pos_PBS	s4_p16_pos_PBS	s1_p16_neg_LPS	s2_p16_neg_LPS	s3_p16_neg_LPS	s4_p16_neg_LPS	s1_p16_pos_LPS	s2_p16_pos_LPS	s3_p16_pos_LPS	s4_p16_pos_LPS
Shf	0	1	0	3	0	2	8	9	0	2	4	4	4	2	6	7
Shfl	0	7	9	27	0	7	16	52	11	6	9	37	11	18	4	101
Shh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shisa2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shisa3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shisa4	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0
Shisa5	3	18	39	102	4	30	58	207	19	59	47	182	55	96	48	565
Shisa6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shisa7	0	0	1	3	0	1	1	5	0	0	0	0	0	0	0	0
Shisa8	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
Shisa9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Shisal1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shisal2a	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Shisal2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shkbp1	0	13	22	38	2	15	36	66	12	23	29	48	18	30	17	120
Shld1	0	0	2	2	0	2	4	10	1	1	3	8	3	5	4	26
Shld2	0	0	0	1	0	0	1	3	0	0	1	3	2	0	1	7
Shld3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Shmt1	0	0	1	2	0	0	1	1	0	0	0	1	0	0	0	4
Shmt2	0	2	6	12	0	5	12	24	4	4	5	4	8	7	2	32
Shoc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shoc2	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	3
Shox2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shpk	0	0	1	1	0	0	0	4	0	1	0	0	1	1	0	11
Shprh	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Shq1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shroom1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shroom2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shroom3	0	1	2	4	1	3	3	17	3	2	1	2	3	21	3	7
Shroom4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Shtn1	0	11	21	39	0	5	31	62	16	10	30	76	34	31	29	331
Siae	0	0	0	0	1	1	0	4	0	0	0	7	1	0	0	9
Siah1a	0	1	4	2	0	1	0	8	0	1	0	4	1	0	1	19
Siah1b	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Siah2	0	0	5	4	1	1	0	6	2	1	0	9	1	2	4	19
Siah3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sidt1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3
Sidt2	3	5	26	27	0	9	24	98	11	19	7	110	22	30	9	331
Sigirr	0	4	1	4	2	3	7	23	1	4	2	2	4	15	3	9
Siglec1	1	4	3	11	0	4	3	10	1	10	8	16	7	6	3	55
Siglec15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Siglece	0	2	2	7	0	7	6	36	3	4	4	32	3	8	3	98
Siglecf	0	1	2	2	0	3	5	14	3	1	2	7	1	1	1	17
Siglecg	0	0	0	0	0	0	0	5	0	0	0	1	0	2	0	8
Siglech	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Sigmar1	2	7	18	37	1	4	26	62	21	25	36	98	19	27	13	274
Sik1	1	2	1	1	0	1	1	2	2	0	1	3	1	2	2	3
Sik2	0	0	2	0	0	0	2	2	0	1	0	4	0	1	2	11
Sik3	2	0	2	4	2	0	6	16	0	0	1	12	3	5	2	33
Sike1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Sil1	0	3	6	25	0	10	29	32	6	8	11	40	14	33	10	127
Sim1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sim2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Simc1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Sin3a	0	0	0	2	0	0	0	3	1	0	0	1	1	1	0	11
Sin3b	1	9	15	43	2	11	24	55	10	25	20	71	26	36	11	220
Sinhcaf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sipa1	2	12	32	46	1	23	40	137	9	16	7	79	22	31	20	205
Sipa1l1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Sipa1l2	0	1	0	8	0	9	4	33	1	1	3	4	3	20	5	16
Sipa1l3	0	0	2	4	0	3	10	12	1	5	1	14	2	12	1	31
Sirpa	7	106	266	863	5	81	309	746	168	458	392	836	523	305	151	3302
Sirpb1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sirpb1b	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Sirpb1c	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0
Sirt1	0	0	0	0	0	1	0	0	1	0	2	0	0	1	0	1
Sirt2	0	4	7	45	0	8	18	45	7	16	16	42	11	11	14	145
Sirt3	0	1	0	2	0	1	1	18	1	5	1	4	0	8	4	26
Sirt4	0	0	0	2	0	0	1	0	0	0	0	1	0	1	0	4
Sirt5	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	4
Sirt6	0	0	0	0	0	2	1	1	1	0	0	1	0	0	0	3
Sirt7	1	2	13	53	1	8	25	96	18	17	15	61	17	30	18	213
Sis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sit1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	3
Siva1	3	7	11	18	3	16	19	54	8	14	12	62	14	40	15	121
Six1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Six2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Six3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Six3os1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Six4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Six5	0	0	0	1	0	1	0	3	2	1	2	1	0	11	0	5
Six6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ska1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Ska2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1
